name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Standard Berth Pad,cq_berth_pad,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_berth_pad.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Vacuum-rated and sized to any standard berth frame, a million regulation sleep pads per cycle are produced by Ko Combine.",900
Domain Ease-Field Berth,cq_ease_field_berth,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_ease_field_berth.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A Domain-era berth that floats the sleeper in a shaped micro-agravity field, still running on its original power cell. No yard in the sector can service the field generator, and so far none has needed to.",901
Recruitment Print,cq_recruitment_print,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_recruitment_print.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A Hegemony Armed Forces recruitment print, one sheet from a press run of ten million. The slogan has not changed since the Second AI War.",902
XIV Battlegroup Pennant,cq_xiv_pennant,"cq_furnishing, cq_pool_battle",Captain's Quarters,,25000,1,1,,graphics/cq/icons/cq_icon_xiv_pennant.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"An honor pennant of the Fourteenth Battlegroup, hand-stitched in wool and gold thread. Considerably more verified originals circulate than the Battlegroup ever issued, so buyers look hard at the stitching and the age of the wool. This one is sealed under stasis film, which is period practice.",903
Grav-Cat,cq_grav_cat,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_grav_cat.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Spacers hold that a cat aboard is good luck. This one is of the long-bodied spacer breed, raised in rotation sections and untroubled by null gravity; it hunts whatever comes aboard with the cargo and spends its idle watches staring into the dark corners of the hull.",904
Salvage Raven,cq_salvage_raven,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_salvage_raven.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A corvid of modified Old Earth stock, bred by belt salvors for pressure tolerance and a good eye for intact metal. During debris sweeps it perches on the sensor board and taps the glass at promising returns.",905
Hydroponic Herb Rack,cq_herb_rack,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_herb_rack.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A hydroponic rack of galley herbs under a grow strip, plumbed into the ship's water recycler.",906
Eventide Rose Bonsai,cq_rose_bonsai,"cq_furnishing, cq_pool_market",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_rose_bonsai.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Eventide's table-strain dwarf roses were bred for aristo households, and they are particular about light, water, and gravity. Aboard a ship the rose needs attention every day.",907
TriPad Dock,cq_tripad_dock,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_tripad_dock.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A desk dock for the standard TriPad, adding chart overlays and an autofiling service that sorts survey returns as they arrive. The subscription is paid up for years yet, through the estate of some previous owner.",908
Domain Survey Cache,cq_survey_cache,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_survey_cache.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A sealed case of data-slates from the Domain Mineral Exploration Authority, holding survey protocols and calibration tables in working order. The certification stamps glow under scan light. The office that issued them is two centuries gone.",909
Scrap Medal Rack,cq_medal_rack,"cq_furnishing, cq_pool_battle",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_medal_rack.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"There is a steady salvage-market trade in campaign medals from navies nobody except historians recognize. This rack came as a single lot; the ribbon has faded, but the brass takes a polish, and the collection makes a respectable showing on a cabin bulkhead.",910
Remnant Facet,cq_remnant_facet,"cq_furnishing, cq_pool_battle",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_remnant_facet.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A shard of inert glass recovered from a Remnant hull, its faces cut along refracting planes. Assay rates it stable and modestly valuable.",911
Woven Deck Mat,cq_deck_mat,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_deck_mat.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A woven mat of ship-grade fiber, standard issue in half the sector's navies and copied in most of the rest. It gives boots a grip on smooth plating, deadens footfall noise, and rolls up out of the way for inspection.",912
Kumari Silk Rug,cq_kumari_rug,"cq_furnishing, cq_pool_scavenge",Captain's Quarters,,4000,1,1,,graphics/cq/icons/cq_icon_kumari_rug.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Habitat loom work from Kumari Kandam, silk laid over a conductive backing that bleeds static charge into the deck. It absorbs noise, dust, and the occasional dropped tool, and it was requisitioned as morale equipment. The backing also keeps it flat under thrust.",913
Votive Lume-Candles,cq_lume_candles,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_lume_candles.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Electric candles in devotional glass, wired into the cabin's emergency bus so the light survives a power loss. The glow is dim, steady, and easy on dark-adapted eyes.",914
Remnant Lumen Shard,cq_lumen_shard,"cq_furnishing, cq_pool_battle",Captain's Quarters,,10000,1,1,,graphics/cq/icons/cq_icon_lumen_shard.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"A crystalline fragment pulled from a Remnant wreck, still faintly active. It flickers in time with the ship's passive sensor sweeps and brightens when a live contact is out there.",915
Caff Urn,cq_caff_urn,"cq_furnishing, cq_pool_market",Captain's Quarters,,1500,1,1,,graphics/cq/icons/cq_icon_caff_urn.png,ui_chip_pickup,ui_modspec_drop,cq.items.CqItemPlugin,,"Dented, relined twice, and older than the ship, this pressure-brewing caff urn of yard-grade steel has outlasted two hulls before her.",916
